NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1516
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1374
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1516
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1374
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	277
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1657
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	4
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	9163
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	277
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1657
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	4
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	9163
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  103 (0.07496361)	1+: 1271 (0.9250364)	>1: 7 (0.0050946143)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  1362 (0.99126637)	1+: 12 (0.008733625)	>1: 4 (0.0029112082)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  372 (0.27074236)	1+: 1002 (0.72925764)	>1: 136 (0.098981075)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  187 (0.13609898)	1+: 1187 (0.863901)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  30 (0.02183406)	1+: 1344 (0.9781659)	>1: 15 (0.01091703)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  12 (0.008733625)	1+: 1362 (0.99126637)	>1: 2 (0.0014556041)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  109 (0.07933042)	1+: 1265 (0.92066956)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  574 (0.41775838)	1+: 800 (0.58224165)	>1: 7 (0.0050946143)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  109 (0.07933042)	1+: 1265 (0.92066956)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  1021 (0.74308586)	1+: 353 (0.2569141)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  39 (0.02838428)	1+: 1335 (0.97161573)	>1: 9 (0.0065502184)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  1324 (0.9636099)	1+: 50 (0.036390103)	>1: 1 (7.2780205E-4)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  1373 (0.9992722)	1+: 1 (7.2780205E-4)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  396 (0.28820962)	1+: 978 (0.7117904)	>1: 196 (0.1426492)
AXIOM_TYPE	InverseObjectProperties	Declaration	EquivalentClasses	SubObjectPropertyOf	TransitiveObjectProperty	FunctionalObjectProperty	SubPropertyChainOf	SubClassOf	ObjectPropertyDomain	ObjectPropertyRange
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	1	1	0	1	0	0	0	20	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_during 'starts_during'	1	1	0	2	0	0	2	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=happens_during 'happens_during'	1	1	0	3	1	0	2	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_during 'ends_during'	1	1	0	2	0	0	2	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	0	1	34	1	1	0	2	31	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	0	1	0	0	1	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	1	150	0	0	0	0	2	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_role 'has role'	0	1	3	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	1	1	13	2	1	0	3	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_cross_section 'has_cross_section'	0	1	0	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=increased_in_magnitude_relative_to 'increased_in_magnitude_relative_to'	0	1	0	1	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=singly_occurring_form_of 'singly_occurring_form_of'	0	1	0	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=similar_in_magnitude_relative_to 'similar_in_magnitude_relative_to'	0	1	0	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively_regulates'	0	1	0	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively_regulates'	0	1	0	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	7	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	1	0	3	0	0	0	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	0	1	0	1	1	0	0	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=conditionality 'conditionality'	0	1	51	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	1	3	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=reciprocal_of 'reciprocal_of'	0	1	0	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	0	1	76	0	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=decreased_in_magnitude_relative_to 'decreased_in_magnitude_relative_to'	0	1	0	1	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	0	1	0	2	0	0	1	7	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	1	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	0	1	43	0	0	1	0	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	1	1	0	2	1	0	3	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	0	1	0	2	1	0	1	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	1	1	0	2	1	0	0	0	0	0
