NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	504
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	504
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	504
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	504
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	691
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	3322
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	153
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	691
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	3322
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	153
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  50 (0.09920635)	1+: 454 (0.9007937)	>1: 7 (0.013888889)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  493 (0.9781746)	1+: 11 (0.021825397)	>1: 4 (0.007936508)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  159 (0.31547618)	1+: 345 (0.6845238)	>1: 62 (0.12301587)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  79 (0.15674603)	1+: 425 (0.84325397)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  28 (0.055555556)	1+: 476 (0.9444444)	>1: 14 (0.027777778)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  12 (0.023809524)	1+: 492 (0.97619045)	>1: 2 (0.003968254)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  37 (0.0734127)	1+: 467 (0.9265873)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  280 (0.5555556)	1+: 224 (0.44444445)	>1: 64 (0.12698413)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  37 (0.0734127)	1+: 467 (0.9265873)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  479 (0.95039684)	1+: 25 (0.049603175)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  38 (0.07539683)	1+: 466 (0.92460316)	>1: 9 (0.017857144)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  455 (0.9027778)	1+: 49 (0.097222224)	>1: 1 (0.001984127)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  504 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  67 (0.13293651)	1+: 437 (0.86706346)	>1: 19 (0.037698414)
AXIOM_TYPE	SubClassOf	TransitiveObjectProperty	SubPropertyChainOf	EquivalentClasses	ObjectPropertyRange	InverseObjectProperties	FunctionalObjectProperty	Declaration	SubObjectPropertyOf	ObjectPropertyDomain
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	20	0	0	0	1	1	0	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_during 'starts_during'	0	0	2	0	1	1	0	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=happens_during 'happens_during'	0	1	2	0	0	1	0	1	3	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_during 'ends_during'	0	0	2	0	1	1	0	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	33	1	1	34	0	1	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	1	1	0	0	0	1	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	2	0	0	150	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	0	1	3	13	1	1	0	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_role 'has role'	0	0	0	0	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively regulates'	0	0	0	0	0	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively regulates'	0	0	0	0	0	0	0	1	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	0	0	0	0	0	7	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	0	0	1	0	0	1	3	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	0	1	0	0	1	0	0	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	0	0	3	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	1	0	0	76	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	7	0	1	0	0	0	0	1	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	0	0	0	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	0	0	0	43	1	0	1	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	0	1	3	0	1	1	0	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	0	1	1	0	1	0	0	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	0	1	0	0	0	1	0	1	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	0	0	0	0	0	1	0	1	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	0	1	0	0	1	0	0	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002351 'has_member'	0	0	0	45	0	0	0	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	0	1	1	0	1	0	0	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	0	0	0	0	0	1	0	1	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	20	0	0	0	1	1	0	1	1	1
