NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1542
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1382
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1542
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1382
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1659
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	9985
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	279
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	4
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1659
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	9985
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	279
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	4
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  95 (0.06874096)	1+: 1287 (0.93125904)	>1: 7 (0.005065123)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000589 'OBO Foundry Uniquename'	0:  1 (7.23589E-4)	1+: 1381 (0.9992764)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  1368 (0.9898698)	1+: 14 (0.010130246)	>1: 4 (0.002894356)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  495 (0.35817656)	1+: 887 (0.6418235)	>1: 144 (0.10419682)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  201 (0.14544138)	1+: 1181 (0.8545586)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  30 (0.02170767)	1+: 1352 (0.97829235)	>1: 15 (0.010853835)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  14 (0.010130246)	1+: 1368 (0.9898698)	>1: 2 (0.001447178)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  133 (0.09623734)	1+: 1249 (0.90376264)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  677 (0.48986974)	1+: 705 (0.5101302)	>1: 72 (0.05209841)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  133 (0.09623734)	1+: 1249 (0.90376264)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  1200 (0.8683068)	1+: 182 (0.1316932)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  40 (0.02894356)	1+: 1342 (0.97105646)	>1: 9 (0.006512301)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  1330 (0.9623734)	1+: 52 (0.037626628)	>1: 1 (7.23589E-4)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  1379 (0.99782926)	1+: 3 (0.002170767)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  435 (0.31476122)	1+: 947 (0.6852388)	>1: 213 (0.15412445)
AXIOM_TYPE	InverseObjectProperties	EquivalentClasses	ObjectPropertyDomain	FunctionalObjectProperty	SubPropertyChainOf	SubClassOf	SubObjectPropertyOf	ObjectPropertyRange	TransitiveObjectProperty	Declaration
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=reciprocal_of 'reciprocal_of'	0	0	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=decreased_in_magnitude_relative_to 'decreased_in_magnitude_relative_to'	0	0	0	0	0	0	1	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_during 'ends_during'	1	0	1	0	2	0	2	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=happens_during 'happens_during'	1	0	0	0	2	0	3	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_during 'starts_during'	1	0	1	0	2	0	2	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	1	0	1	0	0	20	1	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_cross_section 'has_cross_section'	0	0	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=similar_in_magnitude_relative_to 'similar_in_magnitude_relative_to'	0	0	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=conditionality 'conditionality'	0	51	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=increased_in_magnitude_relative_to 'increased_in_magnitude_relative_to'	0	0	0	0	0	0	1	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	0	0	1	0	1	0	2	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	1	0	0	0	0	0	2	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	1	0	1	0	0	20	1	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	0	0	1	0	1	0	2	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	1	0	0	0	0	0	2	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	1	0	0	0	0	0	2	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	0	0	1	0	0	0	1	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	0	0	1	0	0	0	1	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	1	0	0	0	3	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	0	0	0	2	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	0	0	0	7	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	0	76	0	0	0	1	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	1	0	1	0	3	0	2	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	1	13	1	0	3	0	2	1	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=singly_occurring_form_of 'singly_occurring_form_of'	0	0	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	3	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	150	0	0	0	2	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002351 'has_member'	0	45	0	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	0	43	1	1	0	0	0	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	1	0	0	0	0	1	0	0	1	1
