Drosophila cell culture ; FBcv:0000609 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
n hr ; FBcv:0000184 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
In transgenic Drosophila (allele of one drosophilid species in genome of another drosophilid) ; FBcv:0000610 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
monophasic ; FBcv:0000010 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
Whole-organism transient assay (allele of foreign species assayed in drosophilid) ; FBcv:0000613 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
Whole-organism transient assay ; FBcv:0000608 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
Whole-organism transient assay (allele from one drosophilid species assayed in another drosophilid) ; FBcv:0000611 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
In transgenic Drosophila ; FBcv:0000607 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
Whole-organism transient assay (intraspecific) ; FBcv:0000004 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
n day ; FBcv:0000183 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
In transgenic Drosophila (allele of foreign species in genome of drosophilid) ; FBcv:0000612 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
In transgenic Drosophila (intraspecific) ; FBcv:0000003 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
allele assay method ; FBcv:0000606 has been made obsolete. Suggested alternative term(s): allele descriptor ; FBcv:0000807
contralateral ; FBcv:0000057 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
absolute temporal qualifier ; FBcv:0000012 has been made obsolete. Suggested alternative term(s): temporal  qualifier ; FBcv:0000176
distal to ; FBcv:0000040 has been made obsolete. Suggested alternative term(s): spatial qualifier ; FBcv:0000052
