NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	505
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	504
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	505
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	504
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	153
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	3106
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	688
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	153
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	3106
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	688
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  50 (0.09920635)	1+: 454 (0.9007937)	>1: 8 (0.015873017)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  493 (0.9781746)	1+: 11 (0.021825397)	>1: 4 (0.007936508)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  161 (0.31944445)	1+: 343 (0.6805556)	>1: 64 (0.12698413)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  81 (0.16071428)	1+: 423 (0.83928573)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  27 (0.05357143)	1+: 477 (0.9464286)	>1: 14 (0.027777778)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  12 (0.023809524)	1+: 492 (0.97619045)	>1: 2 (0.003968254)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  18 (0.035714287)	1+: 486 (0.96428573)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  92 (0.18253969)	1+: 412 (0.8174603)	>1: 64 (0.12698413)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  18 (0.035714287)	1+: 486 (0.96428573)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  479 (0.95039684)	1+: 25 (0.049603175)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  38 (0.07539683)	1+: 466 (0.92460316)	>1: 9 (0.017857144)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  455 (0.9027778)	1+: 49 (0.097222224)	>1: 1 (0.001984127)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  504 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  67 (0.13293651)	1+: 437 (0.86706346)	>1: 19 (0.037698414)
AXIOM_TYPE	TransitiveObjectProperty	FunctionalObjectProperty	SubClassOf	ObjectPropertyDomain	Declaration	EquivalentClasses	ObjectPropertyRange	InverseObjectProperties	SubPropertyChainOf	SubObjectPropertyOf
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002093 RO:0002093	0	0	0	1	1	0	1	1	2	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002092 RO:0002092	1	0	0	0	1	0	0	1	2	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002091 RO:0002091	0	0	0	1	1	0	1	1	2	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	0	0	20	1	1	0	1	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	1	0	0	1	1	0	1	0	1	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	0	0	0	0	0	0	7
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002351 'has_member'	0	0	0	0	1	45	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	0	2	0	1	150	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively regulates'	0	0	0	0	1	0	0	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively regulates'	0	0	0	0	1	0	0	0	1	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	0	0	7	0	1	0	0	0	1	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	0	0	1	0	1	76	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000051 BFO:0000051	1	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	1	0	33	0	1	34	0	0	3	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	0	0	20	1	1	0	1	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	1	0	0	1	1	0	1	0	1	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	1	0	0	0	1	0	0	1	0	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	0	0	0	0	1	0	0	1	0	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	1	0	0	1	1	0	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	1	0	0	1	1	0	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	0	1	1	0	1	0	0	3
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	0	1	0	1	1	43	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	0	0	0	1	3	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	1	0	0	1	1	0	1	1	3	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	1	0	0	1	1	13	1	1	3	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_role 'has role'	0	0	0	0	1	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	0	0	0	0	1	0	0	1	0	2
