NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1844
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1664
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1844
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1664
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	285
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	11209
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1935
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	285
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	11209
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1935
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  1650 (0.99158657)	1+: 14 (0.008413462)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  397 (0.23858173)	1+: 1267 (0.7614183)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  397 (0.23858173)	1+: 1267 (0.7614183)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  43 (0.025841346)	1+: 1621 (0.97415864)	>1: 9 (0.005408654)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  501 (0.30108172)	1+: 1163 (0.6989183)	>1: 147 (0.08834135)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  100 (0.060096152)	1+: 1564 (0.93990386)	>1: 8 (0.0048076925)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  12 (0.0072115385)	1+: 1652 (0.99278843)	>1: 3 (0.0018028846)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  177 (0.106370196)	1+: 1487 (0.8936298)	>1: 67 (0.040264424)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  30 (0.018028846)	1+: 1634 (0.98197114)	>1: 15 (0.009014423)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  1491 (0.89603364)	1+: 173 (0.10396635)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  438 (0.26322114)	1+: 1226 (0.73677886)	>1: 213 (0.1280048)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  1612 (0.96875)	1+: 52 (0.03125)	>1: 1 (6.0096156E-4)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  1661 (0.99819714)	1+: 3 (0.0018028846)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  122 (0.073317304)	1+: 1542 (0.9266827)	>1: 0 (0.0)
AXIOM_TYPE	EquivalentClasses	SubPropertyChainOf	SubObjectPropertyOf	ObjectPropertyRange	ObjectPropertyDomain	TransitiveObjectProperty	Declaration	FunctionalObjectProperty	SubClassOf	InverseObjectProperties
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	0	1	2	0	0	1	1	0	7	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	3	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively regulates'	0	2	1	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	1	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	156	0	0	0	0	0	1	0	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=similar_in_magnitude_relative_to 'similar_in_magnitude_relative_to'	0	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=decreased_in_magnitude_relative_to 'decreased_in_magnitude_relative_to'	0	0	1	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	7	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	13	3	2	1	1	1	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_role 'has role'	3	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	43	0	0	1	1	0	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	0	1	2	1	1	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	0	0	2	0	0	0	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	0	0	1	1	1	0	1	0	20	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	0	1	2	1	1	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	0	0	2	0	0	1	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	0	0	2	0	0	0	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	0	0	1	1	1	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	0	0	1	1	1	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	3	1	1	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively regulates'	0	2	1	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=happens_during 'happens_during'	0	2	3	0	0	1	1	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=reciprocal_of 'reciprocal_of'	0	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	0	0	0	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	34	4	1	0	0	1	1	0	32	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	78	0	0	0	0	0	1	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	0	0	1	1	1	0	1	0	20	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=increased_in_magnitude_relative_to 'increased_in_magnitude_relative_to'	0	0	1	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	0	3	2	1	1	1	1	0	0	1
