NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	521
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	518
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	521
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	518
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	159
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	696
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	3249
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	159
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	696
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	3249
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  507 (0.9787645)	1+: 11 (0.021235522)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  18 (0.034749035)	1+: 500 (0.96525097)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  18 (0.034749035)	1+: 500 (0.96525097)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  41 (0.07915058)	1+: 477 (0.92084944)	>1: 9 (0.017374517)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  160 (0.3088803)	1+: 358 (0.6911197)	>1: 65 (0.12548262)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  50 (0.096525095)	1+: 468 (0.9034749)	>1: 8 (0.015444015)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  10 (0.019305019)	1+: 508 (0.980695)	>1: 3 (0.005791506)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  147 (0.2837838)	1+: 371 (0.7162162)	>1: 67 (0.12934363)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  28 (0.054054055)	1+: 490 (0.9459459)	>1: 14 (0.027027028)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  493 (0.95173746)	1+: 25 (0.048262548)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  69 (0.13320464)	1+: 449 (0.86679536)	>1: 19 (0.036679536)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  469 (0.9054054)	1+: 49 (0.0945946)	>1: 1 (0.0019305019)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  518 (1.0)	1+: 0 (0.0)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  81 (0.15637065)	1+: 437 (0.84362936)	>1: 0 (0.0)
AXIOM_TYPE	TransitiveObjectProperty	InverseObjectProperties	ObjectPropertyRange	SubPropertyChainOf	EquivalentClasses	SubObjectPropertyOf	Declaration	ObjectPropertyDomain	SubClassOf	FunctionalObjectProperty
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	1	0	1	0	0	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	1	0	1	0	0	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	1	0	0	3	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	0	1	0	0	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002093 RO:0002093	0	1	1	2	0	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002092 RO:0002092	1	1	0	2	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002091 RO:0002091	0	1	1	2	0	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	0	1	1	0	0	1	1	1	20	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	0	1	0	0	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	1	1	0	0	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	1	0	1	1	0	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	0	0	0	0	78	0	1	0	1	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	1	0	0	3	34	1	1	0	32	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000051 BFO:0000051	1	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	0	0	1	0	43	0	1	1	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	0	0	0	3	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	1	1	1	3	0	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002351 'has_member'	0	0	0	0	45	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	1	1	1	3	13	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	0	0	7	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_role 'has role'	0	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	1	0	1	1	0	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	0	0	0	156	0	1	0	2	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	0	1	1	0	0	1	1	1	20	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively regulates'	0	0	0	2	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively regulates'	0	0	0	2	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	1	0	0	1	0	2	1	0	7	0
