NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1864
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1684
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1864
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1684
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	285
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	2587
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	11348
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	285
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	2587
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	11348
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  1670 (0.99168646)	1+: 14 (0.008313539)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  417 (0.24762471)	1+: 1267 (0.7523753)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  417 (0.24762471)	1+: 1267 (0.7523753)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  43 (0.025534442)	1+: 1641 (0.97446555)	>1: 9 (0.005344418)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  503 (0.2986936)	1+: 1181 (0.7013064)	>1: 147 (0.087292165)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  102 (0.060570072)	1+: 1582 (0.93942994)	>1: 8 (0.004750594)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  12 (0.007125891)	1+: 1672 (0.9928741)	>1: 3 (0.0017814727)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  186 (0.1104513)	1+: 1498 (0.8895487)	>1: 67 (0.039786223)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  30 (0.017814728)	1+: 1654 (0.98218524)	>1: 15 (0.008907364)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  1511 (0.8972684)	1+: 173 (0.10273159)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  443 (0.26306415)	1+: 1241 (0.73693585)	>1: 213 (0.12648456)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  1632 (0.96912116)	1+: 52 (0.03087886)	>1: 1 (5.9382425E-4)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  1681 (0.99821854)	1+: 3 (0.0017814727)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  122 (0.072446555)	1+: 1562 (0.9275534)	>1: 0 (0.0)
AXIOM_TYPE	TransitiveObjectProperty	InverseObjectProperties	ObjectPropertyRange	SubPropertyChainOf	EquivalentClasses	SubObjectPropertyOf	Declaration	ObjectPropertyDomain	SubClassOf	FunctionalObjectProperty
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=regulates 'regulates'	1	0	0	1	0	2	1	0	7	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	0	0	0	3	0	1	0	3	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=negatively_regulates 'negatively regulates'	0	0	0	2	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	0	0	1	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	0	0	0	156	0	1	0	158	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=similar_in_magnitude_relative_to 'similar_in_magnitude_relative_to'	0	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=decreased_in_magnitude_relative_to 'decreased_in_magnitude_relative_to'	1	0	0	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	0	0	7	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	1	1	1	3	13	2	1	1	13	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_role 'has role'	0	0	0	0	3	0	1	0	3	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=scratch_70595e1b_dde4_4b0a_90c3_dfa9c95d30ab 'has_age'	0	0	1	0	43	0	1	1	43	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	1	0	1	1	0	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	0	1	0	0	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	0	1	1	0	0	1	1	1	20	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	1	0	1	1	0	2	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	1	1	0	0	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	0	1	0	0	0	2	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	1	0	1	0	0	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	1	0	1	0	0	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	1	0	0	3	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=positively_regulates 'positively regulates'	0	0	0	2	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=happens_during 'happens_during'	1	1	0	2	0	3	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=reciprocal_of 'reciprocal_of'	0	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_part 'has_part'	1	0	0	0	0	0	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=part_of 'part_of'	1	0	0	4	34	1	1	0	66	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	0	0	0	0	78	0	1	0	79	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	0	1	1	0	0	1	1	1	20	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=increased_in_magnitude_relative_to 'increased_in_magnitude_relative_to'	1	0	0	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	1	1	1	3	0	2	1	1	0	0
