NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1763
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=true	1600
NUMBER_OF_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1763
NUMBER_OF_NON_DEPRECATED_CLASSES.INCLUDE_IMPORT_CLOSURE=false	1600
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	279
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	10704
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1872
NUMBER_OF_AXIOMS.AXIOM_TYPE=EquivalentClasses	279
NUMBER_OF_AXIOMS.AXIOM_TYPE=AnnotationAssertion	10704
NUMBER_OF_AXIOMS.AXIOM_TYPE=DisjointClasses	3
NUMBER_OF_AXIOMS.AXIOM_TYPE=SubClassOf	1872
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasDbXref 'database_cross_reference'	0:  95 (0.059375)	1+: 1505 (0.940625)	>1: 8 (0.005)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasOBONamespace 'has_obo_namespace'	0:  1586 (0.99125)	1+: 14 (0.00875)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasExactSynonym 'has_exact_synonym'	0:  496 (0.31)	1+: 1104 (0.69)	>1: 147 (0.091875)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=comment comment	0:  134 (0.08375)	1+: 1466 (0.91625)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasNarrowSynonym 'has_narrow_synonym'	0:  30 (0.01875)	1+: 1570 (0.98125)	>1: 15 (0.009375)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasBroadSynonym 'has_broad_synonym'	0:  14 (0.00875)	1+: 1586 (0.99125)	>1: 2 (0.00125)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=creation_date creation_date	0:  333 (0.208125)	1+: 1267 (0.791875)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=inSubset 'in_subset'	0:  185 (0.115625)	1+: 1415 (0.884375)	>1: 64 (0.04)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=created_by created_by	0:  333 (0.208125)	1+: 1267 (0.791875)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=IAO:0000115 'definition'	0:  1418 (0.88625)	1+: 182 (0.11375)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasAlternativeId 'has_alternative_id'	0:  41 (0.025625)	1+: 1559 (0.974375)	>1: 9 (0.005625)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=id id	0:  1548 (0.9675)	1+: 52 (0.0325)	>1: 1 (6.25E-4)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=label label	0:  1597 (0.998125)	1+: 3 (0.001875)	>1: 0 (0.0)
NUMBER_OF_NON_DEPRECATED_CLASSES.ANNOTATION_PROPERTY=hasRelatedSynonym 'has_related_synonym'	0:  436 (0.2725)	1+: 1164 (0.7275)	>1: 213 (0.133125)
AXIOM_TYPE	InverseObjectProperties	EquivalentClasses	Declaration	SubPropertyChainOf	ObjectPropertyDomain	TransitiveObjectProperty	SubObjectPropertyOf	ObjectPropertyRange	FunctionalObjectProperty	SubClassOf
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=reciprocal_of 'reciprocal_of'	0	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=decreased_in_magnitude_relative_to 'decreased_in_magnitude_relative_to'	0	0	1	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_during 'ends_during'	1	0	1	2	1	0	2	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=happens_during 'happens_during'	1	0	1	2	0	1	3	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_during 'starts_during'	1	0	1	2	1	0	2	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=ends_at_start_of 'immediately_precedes'	1	0	1	0	1	0	1	1	0	20
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=has_cross_section 'has_cross_section'	0	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=similar_in_magnitude_relative_to 'similar_in_magnitude_relative_to'	0	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=conditionality 'conditionality'	0	51	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=increased_in_magnitude_relative_to 'increased_in_magnitude_relative_to'	0	0	1	0	0	1	1	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002089 'starts_before'	0	0	1	1	1	1	2	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002088 'during_which_starts'	1	0	1	0	0	0	2	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=starts_at_end_of 'immediately_preceded_by'	1	0	1	0	1	0	1	1	0	20
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002086 'ends_after'	0	0	1	1	1	1	2	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002085 'encompasses'	1	0	1	0	0	1	2	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002084 'during_which_ends'	1	0	1	0	0	0	2	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002083 'before'	0	0	1	0	1	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002082 'simultaneous_with'	0	0	1	0	1	1	1	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002081 'before_or_simultaneous_with'	0	0	1	0	1	0	3	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=occurs_in 'occurs in'	0	0	1	1	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=owl:topObjectProperty owl:topObjectProperty	0	0	0	0	0	0	7	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=qualifier 'qualifier'	0	76	1	0	0	0	0	0	0	1
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=preceded_by 'preceded_by'	1	0	1	3	1	1	2	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=BFO:0000060 'precedes'	1	13	1	3	1	1	2	1	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=singly_occurring_form_of 'singly_occurring_form_of'	0	0	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=towards 'towards'	0	3	1	0	0	0	0	0	0	0
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=inheres_in 'inheres_in'	0	150	1	0	0	0	0	0	0	2
NUMBER_OF_AXIOMS.OBJECT_PROPERTY=RO:0002351 'has_member'	0	45	1	0	0	0	0	0	0	0
