#curie_map:
#  FBcv: http://purl.obolibrary.org/obo/FBcv_
#  MMO: http://purl.obolibrary.org/obo/MMO_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  ORCID: https://orcid.org/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbcv/agr.sssom.tsv
#mapping_set_description: Mappings between the FlyBase Controlled Vocabulary (FBcv) and some of the ontologies used by the Alliance of Genome Resources (AGR).
#creator_id:
#  - ORCID:0000-0002-6095-8718
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbcv.owl
#mapping_date: 2025-10-02
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	object_source
FBcv:0003047	isolated cells	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003068	RNA-Seq	skos:exactMatch	MMO:0000658	ribonucleic acid in situ hybridization assay	semapv:ManualMappingCuration	obo:mmo.owl
FBcv:0003127	developmental stage study	skos:exactMatch	OBI:0003713	organism development assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003130	tissue type study	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003133	gene study	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003134	biotic stimulus study	skos:broadMatch	OBI:0001396	stimulus or stress design	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003135	chemical stimulus study	skos:broadMatch	OBI:0001396	stimulus or stress design	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003141	multi-individual sample	skos:exactMatch	OBI:0302716	pool of specimens	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003166	biotic treatment	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003167	chemical treatment	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003169	tissue dissection	skos:exactMatch	OBI:0001504	dissection	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003170	cell isolation	skos:exactMatch	OBI:0000512	isolation of cell population	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0003213	Illumina sequencing	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009000	single-cell RNA-Seq	skos:exactMatch	MMO:0000862	single cell RNA-seq assay	semapv:ManualMappingCuration	obo:mmo.owl
FBcv:0009000	single-cell RNA-Seq	skos:exactMatch	OBI:0002631	single-cell RNA sequencing assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009001	single-nucleus RNA-Seq	skos:exactMatch	OBI:0003109	single-nucleus RNA sequencing assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009001	single-nucleus RNA-Seq	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:mmo.owl
FBcv:0009002	cell clustering analysis	skos:broadMatch	OBI:0200175	class discovery data transformation	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009004	isolated nuclei	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009006	DROP-Seq	skos:broadMatch	OBI:0002631	single-cell RNA sequencing assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009007	Smart-seq2	skos:broadMatch	OBI:0002631	single-cell RNA sequencing assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009008	10x sequencing	skos:broadMatch	OBI:0002631	single-cell RNA sequencing assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009009	starvation	skos:broadMatch	OBI:0600030	experimental disease induction	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009011	mechanical cell dissociation	skos:broadMatch	OBI:0000512	isolation of cell population	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009012	enzymatic cell dissociation	skos:broadMatch	OBI:0000512	isolation of cell population	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009013	chemical cell dissociation	skos:broadMatch	OBI:0000512	isolation of cell population	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009056	single-cell combinatorial indexing RNA sequencing	skos:exactMatch	OBI:0003105	single-cell combinatorial indexing RNA sequencing assay	semapv:ManualMappingCuration	obo:obi.owl
FBcv:0009058	EMBL-EBI SCEA standard analysis method	skos:exactMatch	sssom:NoTermFound		semapv:ManualMappingCuration	obo:obi.owl
