?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBcv_0003066>	"An assay in which a factor is immunoprecipitated and the associated RNA sequences are characterized by high-throughput sequencing."	
<http://purl.obolibrary.org/obo/FBcv_0000111>	"30-70% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0007010>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property that can be used to stimulate the activity of a neuron, where this property can be regulated by temperature."	
<http://purl.obolibrary.org/obo/FBcv_0000183>		
<http://purl.obolibrary.org/obo/CHEBI_22315>	"Any of the naturally occurring, basic nitrogen compounds (mostly heterocyclic) occurring mostly in the plant kingdom, but also found in bacteria, fungi, and animals. By extension, certain neutral compounds biogenetically related to basic alkaloids are also classed as alkaloids. Amino acids, peptides, proteins, nucleotides, nucleic acids, amino sugars and antibiotics are not normally regarded as alkaloids. Compounds in which the nitrogen is  exocyclic (dopamine, mescaline, serotonin, etc.) are usually classed as amines rather than alkaloids."	"Wikipedia:Alkaloid"
<http://purl.obolibrary.org/obo/FBcv_0005013>	"Protein having well characterized fluorescence excitation and emission spectra, with an emission peak within the wavelength range of 625-659nm."	
<http://purl.obolibrary.org/obo/CHEBI_27207>	"A univalent carboacyl group is a group formed by loss of OH from the carboxy group of a carboxylic acid."	
<http://purl.obolibrary.org/obo/FBcv_0003232>	"Mapping of short (200-500 bp) sequence-tagged sites (STS) landmarks to develop a physical map of a genome."	
<http://purl.obolibrary.org/obo/FBcv_0000754>	"An allele inferred from genetic evidence to have normal activity at some temperatures (permissive temperatures) but at other temperatures to make a gene product with normal function but in a lesser amount or with lowered activity (non-permissive temperatures). The genetic evidence must consist of an observation extra copies in the genome decrease the expressivity and/or penetrance of the phenotype at non-permissive temperatures. Most commonly this evidence takes the form of experiments showing that the homozygote (2 copies) has a weaker phenotype at non-permissive temperatures than the allele in trans to a deletion of the gene (1 copy))."	
<http://purl.obolibrary.org/obo/FBcv_0010015>		
<http://purl.obolibrary.org/obo/FBcv_0000214>	"A work that has not been formally published and that consists of observations or data submitted by a researcher or group of researchers directly to FlyBase."	
<http://purl.obolibrary.org/obo/CHEBI_50699>	"A compound in which monosaccharide units are joined by glycosidic linkages. The term is commonly used to refer to a defined structure as opposed to a polymer of unspecified length or a homologous mixture. When the linkages are of other types the compounds are regarded as oligosaccharide analogues."	"KEGG:C00930"
<http://purl.obolibrary.org/obo/FBcv_0000300>	"A phenotypic attribute is described as codominant when it is manifest in individuals carrying the allele that causes that phenotype, irrespective of the homologous allele."	
<http://purl.obolibrary.org/obo/FBcv_0000275>	"Publication in the Slovak language."	
<http://purl.obolibrary.org/obo/FBcv_0000457>	"Sequence change introduced by using an in vitro construct that contains a in-frame fusion of the open reading frames from two or more genes. In FlyBase, the resulting genes may be classified as fusion genes or tagged genes."	
<http://purl.obolibrary.org/obo/FBcv_0003027>	"A collection of material reagents."	
<http://purl.obolibrary.org/obo/FBcv_0009053>	"Non-functional fragment of an RNA-guided nuclease that can be used to reconstitute a functional RNA-guided nuclease when brought together in vivo with a complementary split RNA-guided nuclease fragment, where the process that brings the complementary fragments together can be regulated by binding to a small molecule, such as an ion or ligand."	
<http://purl.obolibrary.org/obo/FBcv_0000349>	"A phenotype that is survival to mature adulthood, where mature is defined as after adult stage A3 (FBdv:00006012)."	
<http://purl.obolibrary.org/obo/FBcv_0000182>		
<http://purl.obolibrary.org/obo/FBcv_0000070>	"Restricted to ventral region of some specified type."	
<http://purl.obolibrary.org/obo/CHEBI_35352>	"Any heteroorganic entity containing at least one carbon-nitrogen bond."	
<http://purl.obolibrary.org/obo/FBcv_0009020>	"Nuclei of a single cell type have been isolated with the TAPIN (Tandem Affinity Purification of Intact Nuclei) strategy (Davis et al., 2020)."	
<http://purl.obolibrary.org/obo/FBcv_0000150>	"Restricted to a segmentally repeated pattern with some specified type."	
<http://purl.obolibrary.org/obo/CHEBI_38034>		
<http://purl.obolibrary.org/obo/CHEBI_33666>		
<http://purl.obolibrary.org/obo/CHEBI_33576>	"Any carboxylic acid having a sulfur substituent."	
<http://purl.obolibrary.org/obo/FBcv_0003019>	"Mutation caused by the transposable activity caused by the I-element, a non-LTR retrotransposon. The I-element is 5371 base pairs long. Mobilization is induced by the activity of the I-element transposase."	
<http://purl.obolibrary.org/obo/CHEBI_33856>	"An amino acid whose structure includes an aromatic ring."	"KEGG:C01021 Wikipedia:Aromatic_amino_acid"
<http://purl.obolibrary.org/obo/FBcv_0010014>		
<http://purl.obolibrary.org/obo/FBcv_0005057>	"Sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and which allows the tagged protein product to be cleaved (broken into smaller molecules by the rupture of a covalent bond) by a specific process. Examples of protein cleavage tags include sequences recognized and cleaved by proteases such as the human rhinovirus (HRV) 3C protease (often produced with the tradename PreScission Protease) and the tobacco etch virus (TEV) protease. Protein product cleavage can be used for a number of different purposes, including release of a protein after purification, or removal of a detection tag to assess that the tag does not interfere with protein function."	
<http://purl.obolibrary.org/obo/FBcv_0000076>	"0-10% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000410>	"Phenotype that is any abnormality in response to heat (GO:0009408). 'response to heat' is defined as: 'Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.'"	
<http://purl.obolibrary.org/obo/FBcv_0000534>	"An ethyl sulfide that is diethyl sulfide in which a hydrogen from each of the terminal methyl groups is replaced by a chlorine. It is a powerful vesicant regulated under the Chemical Weapons Convention (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_38808>	"A membrane transport modulator that is able to regulate intracellular calcium levels."	
<http://purl.obolibrary.org/obo/CHEBI_26607>	"Any fatty acid containing no carbon to carbon multiple bonds. Known to produce adverse biological effects when ingested to excess."	
<http://purl.obolibrary.org/obo/FBcv_0007017>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property used to ablate a specific cell or anatomical structure, where this property can be regulated by binding to a small molecule, such as an ion or ligand."	
<http://purl.obolibrary.org/obo/CHEBI_33662>	"A mancude monocyclic hydrocarbon without side chains of the general formula CnHn (n is an even number) or CnHn+1 (n is an odd number). In systematic nomenclature an annulene with seven or more carbon atoms may be named [n]annulene, where n is the number of carbon atoms."	
<http://purl.obolibrary.org/obo/FBcv_0000815>	"A monocarboxylic acid that is butanoic acid substituted at position 4 by a 4-[bis(2-chloroethyl)amino]phenyl group. A chemotherapy drug that can be used in combination with the antibody obinutuzumab for the treatment of chronic lymphocytic leukemia (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0000185>		
<http://purl.obolibrary.org/obo/CHEBI_18367>	"A phosphate ion that is the conjugate base of hydrogenphosphate."	"Wikipedia:Phosphate PDBeChem:PO4 KEGG:C00009"
<http://purl.obolibrary.org/obo/CHEBI_48356>	"A polar solvent that is capable of acting as a hydron (proton) donor."	
<http://purl.obolibrary.org/obo/CHEBI_33598>	"A homocyclic compound in which all of the ring members are carbon atoms."	
<http://purl.obolibrary.org/obo/FBcv_0000792>	"A phenotype in which the aging process is accelerated compared to wild-type."	
<http://purl.obolibrary.org/obo/CHEBI_38166>		
<http://purl.obolibrary.org/obo/FBcv_0003020>	"Mutation caused by the transposable activity caused by the Stalker element, a LTR retrotransposon. Mobilization is induced by the activity of the stalker element transposase."	
<http://purl.obolibrary.org/obo/FBcv_0007534>	"Phenotype that is an increase in any kind of rate (e.g. speed, frequency) of grooming behavior (GO:0007625). 'grooming behavior' is defined as: 'The specific behavior of an organism relating to grooming, cleaning and brushing to remove dirt and parasites.'."	
<http://purl.obolibrary.org/obo/CHEBI_50266>	"A compound that, on administration, must undergo chemical conversion by metabolic processes before becoming the pharmacologically active drug for which it is a prodrug."	"Wikipedia:Prodrug"
<http://purl.obolibrary.org/obo/FBcv_0005077>	"An enzyme that catalyzes hydrolysis of DNA in a site-specific manner. When used in vivo, the DNA cutting stimulates cellular repair mechanisms, which can be exploited to produce genome modifications. For example, repair by homologous recombination in the presence of an exogenous template can be used to introduce targeted changes into the genome."	
<http://purl.obolibrary.org/obo/CHEBI_33304>	"Any p-block molecular entity containing a chalcogen."	
<http://purl.obolibrary.org/obo/FBcv_0010013>		
<http://purl.obolibrary.org/obo/FBcv_0003211>	"A method that uses high-throughput sequencing for this assay."	
<http://purl.obolibrary.org/obo/FBcv_0000342>	"Qualifier that describes a phenotype that has poor penetrance or expressivity."	
<http://purl.obolibrary.org/obo/FBcv_0000700>	"Embryonic/larval segmentation phenotype that is the complete or partial loss of even segments."	
<http://purl.obolibrary.org/obo/FBcv_0003009>	"Sequence change caused by the cleavage of specific DNA sequences by transcription activator-like effector nucleases (TALENs). TALEN proteins comprise a DNA binding domain fused to the catalytic domain of the FokI endonuclease. The DNA binding domain contains a repetitive region within the middle of the protein, consisting of tandem repeats of 34 amino acid segments, with each of these segments recognizing a single base pair. The specificity of the binding is determined by two hypervariable amino acids in positions 12 and 13 (repeat-variable diresidues). Cleavage requires dimerization of FokI. The endonuclease is directed to a target region by a pair of TALENs which bind to adjacent sequences separated by a spacer region, allowing dimerization and promoting cleavage."	
<http://purl.obolibrary.org/obo/FBcv_0000583>	"No definition for CHEBI:28954."	
