Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	diethyl sulfate	textual definition	No description.
ERROR	duplicate_definition	2-chloroethyl methanesulfonate	textual definition	No description.
ERROR	duplicate_definition	2-fluoroethyl methanesulfonate	textual definition	No description.
ERROR	duplicate_definition	carbamate	textual definition	No description.
ERROR	duplicate_definition	vinyl carbamate	textual definition	No description.
ERROR	duplicate_definition	mitomycin C	textual definition	No description.
ERROR	duplicate_definition	quinacrine mustard	textual definition	No description.
ERROR	duplicate_definition	ICR 170	textual definition	No description.
ERROR	duplicate_definition	aminopterin	textual definition	No description.
ERROR	duplicate_definition	H3BO3	textual definition	No description.
ERROR	duplicate_definition	sodium bisulphite	textual definition	No description.
ERROR	duplicate_definition	diepoxybutane	textual definition	No description.
ERROR	duplicate_definition	diepoxyoctane	textual definition	No description.
ERROR	duplicate_definition	1,2:5,6-dibenzanthracene	textual definition	No description.
ERROR	duplicate_definition	1-amino-2-naphthol-4-sulfonic acid	textual definition	No description.
ERROR	duplicate_definition	actinomycin D	textual definition	No description.
ERROR	duplicate_definition	ethylenimine	textual definition	No description.
ERROR	duplicate_definition	fagaronine	textual definition	No description.
ERROR	duplicate_definition	hexamethylmelamine	textual definition	No description.
ERROR	duplicate_definition	hexamethylphosphoramide	textual definition	No description.
ERROR	duplicate_definition	Janus green B	textual definition	No description.
ERROR	duplicate_definition	methoxy diethylnitrosamine	textual definition	No description.
ERROR	duplicate_definition	N-nitrosodimethylamine	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di(2-chloroethyl)aminophenylvaleric acid	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di-(2-chloroethyl)amino-D-phenylalanine	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di-(2-chloroethyl)amino-L-phenylalanine	textual definition	No description.
ERROR	duplicate_definition	p-N,N-di-(2-chloroethyl)aminophenylethylamine	textual definition	No description.
ERROR	duplicate_definition	p-p'-N,N-di(2-chloroethyl)aminophenoxyphenylalanine	textual definition	No description.
ERROR	duplicate_definition	quinhydrone	textual definition	No description.
ERROR	duplicate_definition	S-2-chloroethylcysteine	textual definition	No description.
ERROR	duplicate_definition	styryl quinoline	textual definition	No description.
ERROR	duplicate_definition	triethylenemelamine	textual definition	No description.
ERROR	duplicate_definition	deoxyribonucleic acid	textual definition	High molecular weight, linear polymers, composed of nucleotides containing deoxyribose and linked by phosphodiester bonds; DNA contain the genetic information of organisms.
ERROR	duplicate_definition	DNA	textual definition	High molecular weight, linear polymers, composed of nucleotides containing deoxyribose and linked by phosphodiester bonds; DNA contain the genetic information of organisms.
ERROR	duplicate_definition	nitrogen mustard	textual definition	Compounds having two beta-haloalkyl groups bound to a nitrogen atom, as in (X-CH2-CH2)2NR.
ERROR	duplicate_definition	nitrogen mustard	textual definition	Compounds having two beta-haloalkyl groups bound to a nitrogen atom, as in (X-CH2-CH2)2NR.
ERROR	duplicate_definition	iodine atom	textual definition	Chemical element with atomic number 53.
ERROR	duplicate_definition	iodine	textual definition	Chemical element with atomic number 53.
ERROR	duplicate_definition	benzo[a]pyrene	textual definition	An ortho- and peri-fused polycyclic arene consisting of five fused benzene rings.
ERROR	duplicate_definition	benzo(alpha)pyrene	textual definition	An ortho- and peri-fused polycyclic arene consisting of five fused benzene rings.
ERROR	duplicate_definition	bis(2-chloroethyl) sulfide	textual definition	An ethyl sulfide that is diethyl sulfide in which a hydrogen from each of the terminal methyl groups is replaced by a chlorine. It is a powerful vesicant regulated under the Chemical Weapons Convention.
ERROR	duplicate_definition	bis(2-chloroethyl) sulfide	textual definition	An ethyl sulfide that is diethyl sulfide in which a hydrogen from each of the terminal methyl groups is replaced by a chlorine. It is a powerful vesicant regulated under the Chemical Weapons Convention.
ERROR	duplicate_definition	diethyl ether	textual definition	An ether in which the oxygen atom is linked to two ethyl groups.
