Level	Rule Name	Subject	Property	Value
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part
ERROR	multiple_labels	BFO:0000051	rdfs:label	has part@en
ERROR	multiple_labels	IAO:0100001	rdfs:label	term replaced by
ERROR	multiple_labels	IAO:0100001	rdfs:label	term replaced by@en
ERROR	multiple_labels	RO:0000087	rdfs:label	has role
ERROR	multiple_labels	RO:0000087	rdfs:label	has role@en
ERROR	missing_label	dc11:source	rdfs:label	
ERROR	missing_label	oboInOwl:created_by	rdfs:label	
ERROR	missing_label	oboInOwl:creation_date	rdfs:label	
ERROR	missing_label	oboInOwl:id	rdfs:label	
WARN	missing_definition	BFO:0000016	IAO:0000115	
WARN	missing_definition	BFO:0000019	IAO:0000115	
WARN	missing_definition	BFO:0000034	IAO:0000115	
WARN	missing_definition	CARO:0000000	IAO:0000115	
WARN	missing_definition	CARO:0030000	IAO:0000115	
WARN	missing_definition	CHEBI:13941	IAO:0000115	
WARN	missing_definition	CHEBI:16733	IAO:0000115	
WARN	missing_definition	CHEBI:17051	IAO:0000115	
WARN	missing_definition	CHEBI:17137	IAO:0000115	
WARN	missing_definition	CHEBI:17701	IAO:0000115	
WARN	missing_definition	CHEBI:18140	IAO:0000115	
WARN	missing_definition	CHEBI:18274	IAO:0000115	
WARN	missing_definition	CHEBI:19024	IAO:0000115	
WARN	missing_definition	CHEBI:19255	IAO:0000115	
WARN	missing_definition	CHEBI:19508	IAO:0000115	
WARN	missing_definition	CHEBI:19579	IAO:0000115	
WARN	missing_definition	CHEBI:21183	IAO:0000115	
WARN	missing_definition	CHEBI:21184	IAO:0000115	
WARN	missing_definition	CHEBI:22025	IAO:0000115	
WARN	missing_definition	CHEBI:22213	IAO:0000115	
WARN	missing_definition	CHEBI:22314	IAO:0000115	
WARN	missing_definition	CHEBI:22327	IAO:0000115	
WARN	missing_definition	CHEBI:22494	IAO:0000115	
WARN	missing_definition	CHEBI:22495	IAO:0000115	
WARN	missing_definition	CHEBI:22526	IAO:0000115	
WARN	missing_definition	CHEBI:22681	IAO:0000115	
WARN	missing_definition	CHEBI:22713	IAO:0000115	
WARN	missing_definition	CHEBI:22727	IAO:0000115	
WARN	missing_definition	CHEBI:22744	IAO:0000115	
WARN	missing_definition	CHEBI:22908	IAO:0000115	
WARN	missing_definition	CHEBI:22916	IAO:0000115	
WARN	missing_definition	CHEBI:22927	IAO:0000115	
WARN	missing_definition	CHEBI:22928	IAO:0000115	
WARN	missing_definition	CHEBI:23019	IAO:0000115	
WARN	missing_definition	CHEBI:23114	IAO:0000115	
WARN	missing_definition	CHEBI:23116	IAO:0000115	
WARN	missing_definition	CHEBI:23239	IAO:0000115	
WARN	missing_definition	CHEBI:23377	IAO:0000115	
WARN	missing_definition	CHEBI:23378	IAO:0000115	
WARN	missing_definition	CHEBI:23636	IAO:0000115	
WARN	missing_definition	CHEBI:23704	IAO:0000115	
WARN	missing_definition	CHEBI:23705	IAO:0000115	
WARN	missing_definition	CHEBI:23905	IAO:0000115	
WARN	missing_definition	CHEBI:23906	IAO:0000115	
WARN	missing_definition	CHEBI:24060	IAO:0000115	
WARN	missing_definition	CHEBI:24061	IAO:0000115	
WARN	missing_definition	CHEBI:24062	IAO:0000115	
WARN	missing_definition	CHEBI:24471	IAO:0000115	
WARN	missing_definition	CHEBI:24473	IAO:0000115	
WARN	missing_definition	CHEBI:24564	IAO:0000115	
WARN	missing_definition	CHEBI:24565	IAO:0000115	
WARN	missing_definition	CHEBI:24834	IAO:0000115	
WARN	missing_definition	CHEBI:24836	IAO:0000115	
WARN	missing_definition	CHEBI:24839	IAO:0000115	
WARN	missing_definition	CHEBI:24840	IAO:0000115	
WARN	missing_definition	CHEBI:24867	IAO:0000115	
WARN	missing_definition	CHEBI:24868	IAO:0000115	
